Athlete,Organization,Sport,Location,League,Injury,Expected duration,Financial impact ($),Financial impact (calculation),Team/game impact,Date reported,Source,Source URL
Max Whitlock,Team England (Commonwealth Games) / British Gymnastics,Gymnastics,England,Commonwealth Games / British Gymnastics,"Hand injury, sustained in training","Withdrew from the Glasgow 2026 Commonwealth Games (July 23-Aug 2), announced 10 days before the Games began",,Not applicable — no fixed salary information available for this national-team context,Removes the three-time Olympic and 10-time Commonwealth Games medalist pommel horse specialist from Team England's squad,2026-07-13,Olympics.com - Max Whitlock withdraws from Glasgow 2026 Commonwealth Games with hand injury,https://www.olympics.com/en/news/max-whitlock-withdraws-glasgow-2026-commonwealth-games-with-hand-injury
Louis Oosthuizen,PGA Tour / LIV Golf,Golf,"N/A — individual tour athlete, no fixed team location",PGA Tour / LIV Golf,Back injury,Withdrew from The Open Championship at Royal Birkdale; also pulled out of next week's LIV Golf event at JCB Golf & Country Club,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $17.75M total tournament prize purse for the 2026 Open Championship at Royal Birkdale (per Forbes/PGA Tour).",Removes the 2010 Open champion from the 156-man field; Aldrich Potgieter promoted as first alternate,2026-07-13,Golf Monthly - Past Champion Louis Oosthuizen Forced To Withdraw From 2026 Open Due To Injury,https://www.golfmonthly.com/news/louis-oosthuizen-forced-to-withdraw-from-2026-open-due-to-injury
Alex Mitchell,England national team / British & Irish Lions,Rugby Union,England,Rugby Union (Nations Championship / Lions),"Hamstring injury, sustained 9 minutes after coming on as a second-half replacement vs. Fiji; his third hamstring injury of the season",Ruled out of England's final Nations Championship match against Argentina in Santiago del Estero,,Not applicable — no fixed salary information available for this national-team context,England loses its first-choice scrum-half for the climax of the July tour,2026-07-13,RugbyPass - Steve Borthwick confirms series-ending injury to take sheen off England win,https://www.rugbypass.com/news/injured-alex-mitchell-ruled-out-of-argentina-clash-after-england-hammer-fiji/
Leon Marchand,France national team (Swimming),Swimming,France,International Swimming (national federation),"Right adductor muscle injury, felt during the 200m breaststroke heats; suspected lesion, though initial ultrasound/MRI showed no major abnormality",Withdrew from the final three days of the French Championships to continue treatment,,Not disclosed in available reporting — no specific prize money forfeiture figure found,"His place at the European Aquatics Championships Paris 2026 (Aug 10-16) is not in doubt, as he has already qualified in one event",2026-07-13,European Aquatics - Marchand withdraws from rest of French Championships to continue treatment on leg muscle injury,https://europeanaquatics.org/marchand-withdraws-from-rest-of-french-championships-to-continue-treatment-on-leg-muscle-injury/
Damian Penaud,France national team (Rugby Union),Rugby Union,France,Rugby Union (Nations Championship),Calf injury,"Ruled out of France's remaining Nations Championship matches vs. Australia (July 13, Brisbane) and Japan (July 18, Tokyo)",,Not applicable — no fixed salary information available for this national-team context,France loses a starting winger for the rest of its Nations Championship campaign,2026-07-13,NBC Sports - Injured Damian Penaud to miss France games against Australia and Japan in Nations Championship,https://www.nbcsports.com/rugby/news/injured-damian-penaud-to-miss-france-games-against-australia-and-japan-in-nations-championship
Caleb Delany,Hurricanes (Super Rugby Pacific),Rugby Union,"Wellington, New Zealand",Super Rugby Pacific,"Concussion, sustained in the semi-final",Availability for the Super Rugby Pacific Grand Final uncertain pending return-to-play protocols,,"Not disclosed — individual Super Rugby Pacific player salaries are confidential (New Zealand Rugby publishes only general pay-band ranges, not player-specific figures)",Hurricanes risk being without a forward for the Grand Final,2026-07-13,Super Rugby Pacific - Casualty Ward Super Rugby Pacific Grand Final,https://blog.draftrugby.com/p/casualty-ward-super-rugby-pacific-094
Drew Wild,Chiefs (Super Rugby Pacific),Rugby Union,"Hamilton, New Zealand",Super Rugby Pacific,Shoulder injury,Listed as a doubt for the Super Rugby Pacific Grand Final despite hopes of being available,,"Not disclosed — individual Super Rugby Pacific player salaries are confidential (New Zealand Rugby publishes only general pay-band ranges, not player-specific figures)",Chiefs risk being without a forward for the Grand Final,2026-07-13,Super Rugby Pacific - Casualty Ward Super Rugby Pacific Grand Final,https://blog.draftrugby.com/p/casualty-ward-super-rugby-pacific-094
Carlos Rodón,New York Yankees (MLB),Baseball,"New York, New York (Bronx)",MLB,Left elbow inflammation,Resumed throwing daily as of July 13; possible late-July return to the rotation,1109589,"prorated sunk cost (annual salary ~$27M per Spotrac ÷ 365 × 15 days out) [estimate: ~15 days from July 13 to a ""late July"" return target]","Yankees without a rotation starter for a portion of the stretch run, though a return is targeted before the end of the month",2026-07-13,MLB.com - Baseball injury updates,https://www.mlb.com/news/baseball-injury-updates
Jake Fraley,Tampa Bay Rays (MLB),Baseball,"St. Petersburg, Florida",MLB,Setback related to prior sports hernia surgery; renewed groin discomfort during a rehab assignment at Triple-A Durham,"Pulled from his rehab assignment; faces further evaluation before a return timeline is set, having already been out since May with the hernia",41096,prorated sunk cost (annual salary ~$3.0M per Spotrac ÷ 365 × 5 days out) [undetermined additional recovery time following the rehab setback],"Rays' return timeline for their outfielder is pushed back again, prolonging an IL stint that began in May",2026-07-13,Athlon Sports - Rays Player Suffers Unfortunate Injury Setback During Rehab Assignment,https://athlonsports.com/mlb/tampa-bay-rays/rays-jake-fraley-rehab-injury-setback
Cameron Brink,Los Angeles Sparks (WNBA),Basketball,"Los Angeles, California",WNBA,"Left ankle sprain, suffered turning her ankle in a loss to the Golden State Valkyries","Expected out at least two weeks, to be reevaluated after that; coach indicated it could extend longer",18942,"prorated sunk cost (annual salary ~$493,851 per Spotrac ÷ 365 × 14 days out) [expected out at least two weeks]",Sparks lose their starting forward for at least two weeks; unrelated to her prior knee issues,2026-07-12,ESPN - Sparks' Cameron Brink out undetermined time with ankle sprain,https://www.espn.com/wnba/story/_/id/49098901/sparks-cameron-brink-undetermined-ankle-sprain
Mike Yastrzemski,Atlanta Braves (MLB),Baseball,"Atlanta (Cumberland), Georgia",MLB,Left elbow inflammation,Placed on the 10-day injured list,246575,prorated sunk cost (annual salary ~$9M per Spotrac ÷ 365 × 10 days out),Braves lose an outfield bat for at least 10 days,2026-07-12,"Yardbarker - 2026 Injury Report: Updates on Bichette, Lodolo, Misiorowski",https://www.yardbarker.com/mlb/articles/2026_injury_report_updates_on_bichette_lodolo_misiorowski/s1_17653_44053323
Kyle Harrison,Milwaukee Brewers (MLB),Baseball,"Milwaukee, Wisconsin",MLB,Left forearm tightness,"Placed on the 15-day injured list, retroactive to July 9",32305,"prorated sunk cost (annual salary ~$786,100 per Spotrac ÷ 365 × 15 days out)",Brewers lose a starting pitching option for at least 15 days,2026-07-12,"Yardbarker - 2026 Injury Report: Updates on Bichette, Lodolo, Misiorowski",https://www.yardbarker.com/mlb/articles/2026_injury_report_updates_on_bichette_lodolo_misiorowski/s1_17653_44053323
Jhonattan Vegas,PGA Tour,Golf,"N/A — individual tour athlete, no fixed team location",PGA Tour,Shoulder issue,Withdrew from the John Deere Classic and the Genesis Scottish Open,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $8.8M total tournament prize purse for the 2026 John Deere Classic (per Golf Channel).",Not disclosed in available reporting,2026-07-12,Heavy.com - $45 Million Golfer & Multiple Others Abruptly Withdraw From Genesis Scottish Open,https://heavy.com/sports/golf/brooks-koepka-withdraw-jon-rahm-genesis-scottish-open/
Mattia Bellucci,ATP Tour,Tennis,"N/A — individual tour athlete, no fixed team location",ATP Tour,"Knee issue, sustained during a Wimbledon warm-up",Withdrew from the Swiss Open Gstaad; had already missed Wimbledon because of the injury,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): €612,620 total tournament prize purse for the 2026 EFG Swiss Open Gstaad (per Perfect Tennis).",Not disclosed in available reporting,2026-07-12,Last Word on Sports - Five Players Withdraw From the 2026 Swiss Open Gstaad,https://lastwordonsports.com/tennis/2026/07/12/five-players-withdraw-from-the-2026-swiss-open-gstaad/
Maya Joint,WTA Tour,Tennis,"N/A — individual tour athlete, no fixed team location",WTA Tour,"Back injury, described as a season-long issue",Withdrew from WTA Athens to rest ahead of the second half of the season,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $283,347 total tournament prize purse for the 2026 Athens Open (WTA 250) (per Perfect Tennis).",Not disclosed in available reporting,2026-07-12,Last Word on Sports - 15 Players Withdraw from WTA Athens and Iasi,https://lastwordonsports.com/tennis/2026/07/12/withdraw-wta-athens-iasi/
Drew Baiera,New York City FC (MLS),Soccer,"New York (Bronx), New York",MLS,"Ruptured ACL, left knee",Will undergo surgery; out for an extended rehabilitation period,1553,"prorated sunk cost (annual salary ~$113,400 per Capology ÷ 365 × 5 days out; no specific recovery timeline disclosed, conservative 5-day default used)",NYCFC loses a defender for the remainder of the season,2026-07-12,MLSsoccer.com - Player Availability Report,https://www.mlssoccer.com/news/mlssoccer-com-injury-report
Jordan Morris,Seattle Sounders (MLS) / U.S. men's national team,Soccer,"Seattle, Washington",MLS,"ACL injury, sustained while on loan at Swansea City",Returning to the U.S. for surgery with Dr. Bert Mandelbaum; out for an extended period,30822,"prorated sunk cost (annual salary ~$2.25M per Capology ÷ 365 × 5 days out; no specific recovery timeline disclosed, conservative 5-day default used)",Sounders and USMNT lose a veteran forward for an extended stretch,2026-07-12,MLSsoccer.com - Player Availability Report,https://www.mlssoccer.com/news/mlssoccer-com-injury-report
Nikola Petkovic,Seattle Sounders (MLS),Soccer,"Seattle, Washington",MLS,ACL reconstruction surgery,Ruled out for the remainder of the 2026 season,64658,"prorated sunk cost (annual salary cap hit ~$200,000 per Capology ÷ 365 × 118 days out; days out estimated from date reported to 2026 MLS regular season end ~Nov 7)",Sounders lose a midfielder for the rest of the season,2026-07-12,MLSsoccer.com - Player Availability Report,https://www.mlssoccer.com/news/mlssoccer-com-injury-report
Emerson Hancock,Seattle Mariners (MLB),Baseball,"Seattle, Washington",MLB,Right middle finger contusion; negative X-rays,Day-to-day after exiting his start on July 12,6520,"prorated sunk cost (annual salary ~$793,300 per Spotrac ÷ 365 × 3 days out)",Mariners monitor a rotation piece heading toward the All-Star break,2026-07-12,MLB.com - Latest Mariners injuries and transactions,https://www.mlb.com/news/mariners-injuries-and-roster-moves
Will Wilson,Seattle Mariners (MLB),Baseball,"Seattle, Washington",MLB,Fractured left thumb,Pulled from his rehab assignment due to pain; may require season-ending surgery,166685,"prorated sunk cost (annual salary ~$780,000 per Spotrac ÷ 365 × 78 days out; possible season-ending surgery, days out estimated from date reported to MLB regular season end ~Sept 28)",Mariners' infield depth option now faces a possible lost season,2026-07-12,MLB.com - Latest Mariners injuries and transactions,https://www.mlb.com/news/mariners-injuries-and-roster-moves
Francisco Comesana,ATP Tour,Tennis,"N/A — individual tour athlete, no fixed team location",ATP Tour,Undisclosed injury,Withdrew from the Swiss Open Gstaad and a Challenger event in Germany,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): €612,620 total tournament prize purse for the 2026 EFG Swiss Open Gstaad (per ATP Tour/Perfect Tennis).",Not disclosed in available reporting,2026-07-12,Last Word on Sports - Five Players Withdraw From the 2026 Swiss Open Gstaad,https://lastwordonsports.com/tennis/2026/07/12/five-players-withdraw-from-the-2026-swiss-open-gstaad/
Blaze Alexander,Baltimore Orioles (MLB),Baseball,"Baltimore, Maryland",MLB,"Non-displaced fracture in the left hand after being hit by a pitch from Royals reliever Lucas Erceg, sparking a benches-clearing incident",Expected to miss at least a month; season could be over if surgery is required,65178,"prorated sunk cost (annual salary ~$792,800 per Spotrac ÷ 365 × 30 days out) [estimate: 'at least a month' minimum]","Orioles lose a middle infielder for at least a month, with a risk of a season-ending outcome pending further evaluation",2026-07-12,MLB Trade Rumors - Orioles' Blaze Alexander Suffers Fractured Hand On HBP,https://www.mlbtraderumors.com/2026/07/orioles-blaze-alexander-suffers-fractured-hand-on-hbp.html
Zac Gallen,Arizona Diamondbacks (MLB),Baseball,"Phoenix, Arizona",MLB,Right elbow inflammation,"Placed on the 15-day injured list, retroactive to July 9",905205,prorated sunk cost (annual salary ~$22.025M per Spotrac ÷ 365 × 15 days out),Diamondbacks lose their staff ace for at least two turns through the rotation,2026-07-12,"Arizona Sports - Diamondbacks place RHP Zac Gallen on 15-day IL, recall Mitch Bratt",https://arizonasports.com/mlb/arizona-diamondbacks/zac-gallen-15-day-il-recall-mitch-bratt
Satou Sabally,New York Liberty (WNBA),Basketball,"Brooklyn, New York",WNBA,Concussion protocol after being elbowed in the face by Aces forward NaLyssa Smith while contesting a rebound; symptoms had delayed onset,Downgraded from questionable to out; remains in concussion protocol with no return timeline given,11164,"prorated sunk cost (annual salary ~$815K per Spotrac ÷ 365 × 5 days out) [assumption: concussion protocol with no return timeline, used 5-day undetermined default]",Liberty without their All-Star forward for multiple games as she works through the NBA/WNBA-mandated concussion protocol; notable given she also missed time with a concussion in the 2025 WNBA Finals,2026-07-11,Yahoo Sports - Liberty injury report: Star forward Satou Sabally in concussion protocol,https://sports.yahoo.com/articles/liberty-injury-report-star-forward-satou-sabally-in-concussion-protocol-224647068.html
Angel Reese,Atlanta Dream (WNBA),Basketball,"Atlanta, Georgia",WNBA,Lower leg/ankle injury sustained falling under the basket late in a win over the Seattle Storm,Listed questionable for the Dream's game vs. the Portland Fire; no firm return timeline given,2882,"prorated sunk cost (annual salary ~$350,692 per Spotrac ÷ 365 × 3 days out) [assumption: day-to-day questionable status]",Puts a third-straight All-Star selection and Dream's first year with Reese (acquired in an offseason trade from Chicago) at risk of interruption during a stretch where the team is trying to build momentum after a five-game losing streak,2026-07-11,CBS Sports - Portland Fire vs. Atlanta Dream preview: Dream seek momentum as Angel Reese is questionable with leg injury,https://www.cbssports.com/wnba/news/portland-fire-atlanta-dream-where-to-watch-angel-reese-injury/
Brionna Jones,Atlanta Dream (WNBA),Basketball,"Atlanta, Georgia",WNBA,Meniscus tear in the right knee suffered in late January while playing overseas for USK Prague; underwent knee surgery at Emory Hospital,"Ruled out to begin the 2026 season and remains sidelined into mid-July; not yet cleared for 5-on-5 drills and has no firm return timetable, though the team says she is expected to make a full recovery",153425,"prorated sunk cost (annual salary ~$1M per Spotrac ÷ 365 × 56 days out) [assumption: out since ~start of 2026 WNBA season (~May 16) through date reported (July 11), ~56 days]","Four-time All-Star center has yet to play a game for the Dream this season, a significant frontcourt loss to start the year",2026-07-11,"CBS News Atlanta - Atlanta Dream's Brionna Jones nearing return, expected back with team soon",https://www.cbsnews.com/atlanta/news/atlanta-dreams-brionna-jones-nearing-return-expected-back-with-team-next-week/
Leonie Fiebich,New York Liberty (WNBA),Basketball,"Brooklyn, New York",WNBA,Left foot soreness,"Ruled out for a second straight game, having missed her first game since May 25; no return timeline given",4021,"prorated sunk cost (annual salary ~$293,510 per Spotrac ÷ 365 × 5 days out) [assumption: no return timeline, used 5-day undetermined default]",Liberty forward sidelined for consecutive games amid a compressed schedule that includes a quick turnaround for a game in Toronto,2026-07-11,"Yahoo Sports - Final Injury Report for Liberty-Mystics: Will Satou Sabally, Leonie Fiebich Play?",https://sports.yahoo.com/articles/final-injury-report-liberty-mystics-150000047.html
Johan Manzambi,Switzerland National Team (2026 FIFA World Cup),Soccer,Switzerland,International Soccer,Left-knee injury suffered in training on the eve of the Round of 16 match vs. Colombia,Missed the Round of 16 win over Colombia and ruled out of the quarterfinal vs. Argentina; no return timeline given,,Not applicable — no fixed salary information available for this national-team context,"Major blow to Switzerland's attack: with Manzambi on the pitch during the group stage the team averaged 3.6 goals per 90 minutes (3 goals, 2 assists for him in 200 minutes); without him, Switzerland have scored just once and averaged 1.4 xG per 90 over 280 minutes",2026-07-11,ESPN - Switzerland's Johan Manzambi to miss Argentina World Cup quarterfinal clash - Murat Yakin,https://www.espn.com/soccer/story/_/id/49326340/switzerland-johan-manzambi-miss-argentina-world-cup-quarterfinal-clash-murat-yakin
Marc Guehi,England National Team (2026 FIFA World Cup),Soccer,England,International Soccer,Hamstring strain picked up in England's Round of 16 win over Mexico,Missed a training session in Kansas City but returned to training Friday and was confirmed available for the quarterfinal vs. Norway,,Not applicable — no fixed salary information available for this national-team context,"Created a late fitness scare for England's back line ahead of the quarterfinal, with Newcastle's Dan Burn on standby to deputize had Guehi been unavailable",2026-07-11,Sky Sports - World Cup 2026: England defender Marc Guehi a serious doubt for quarter-final clash with Norway,https://www.skysports.com/football/news/12016/13562168/world-cup-2026-england-defender-marc-guehi-a-serious-doubt-for-quarter-final-clash-with-norway
Nick Kurtz,Athletics (MLB),Baseball,"West Sacramento, California (Sutter Health Park; relocating to Las Vegas)",MLB,Right thumb capsule sprain,"Placed on the 10-day injured list, retroactive to July 10",21507,prorated sunk cost (annual salary ~$785K per Spotrac ÷ 365 × 10 days out) [10-day injured list stint],"Keeps the 2025 AL Rookie of the Year and scheduled AL All-Star starting first baseman (.266, 20 HR, 66 RBI, MLB-leading 76 walks) out of the July 14 All-Star Game in Philadelphia; catcher Brian Serven recalled from Triple-A in a corresponding move",2026-07-11,ESPN - Athletics All-Star 1B Nick Kurtz placed on IL with thumb sprain,https://www.espn.com/mlb/story/_/id/49334996/athletics-all-star-1b-nick-kurtz-placed-il-thumb-sprain
Nick Lodolo,Cincinnati Reds (MLB),Baseball,"Cincinnati, Ohio",MLB,"Blister on the left index finger (throwing hand); a recurring issue, his fourth stint on the IL for blisters dating back to 2024","Placed on the 15-day injured list; eligible to return July 27, though it could take longer depending on severity",194178,prorated sunk cost (annual salary ~$4.725M per Spotrac ÷ 365 × 15 days out) [15-day injured list stint],Reds turn to Rhett Lowder to fill Lodolo's rotation spot,2026-07-11,"MLB Trade Rumors - Reds Place Nick Lodolo On IL With Blister, Recall Chase Petty",https://www.mlbtraderumors.com/2026/07/reds-place-nick-lodolo-on-il-with-blister-recall-chase-petty.html
Bo Bichette,New York Mets (MLB),Baseball,"Queens (Flushing), New York",MLB,"General leg soreness and right ankle soreness, aggravated by fouling balls off his legs during a series in Atlanta",Held out of the lineup for a second straight game and available only off the bench; expected to use the following day and the All-Star break for a full reset rather than go on the injured list,345205,"prorated sunk cost (annual salary ~$42M (contract AAV) per Spotrac ÷ 365 × 3 days out) [assumption: day-to-day, not placed on IL, used 3-day estimate]","Mets manage his workload during a productive stretch (.320 avg, .788 OPS over his last 25 games) heading into the All-Star break",2026-07-11,Associated Press - Bo Bichette held out of Mets' lineup for second straight game with leg soreness,https://www.bakersfield.com/ap/sports/bo-bichette-held-out-of-mets-lineup-for-second-straight-game-with-leg-soreness/article_c615803d-891c-57fd-87ef-b86becfaf8cc.html
Conor McGregor,UFC,Mixed Martial Arts,"N/A — individual fighter, not tied to a team location",UFC,"Suspected torn ACL in the right knee, sustained throwing a kick just 69 seconds into his UFC 329 return bout; official diagnosis pending further medical evaluation",Fight stopped by the referee at 1:09 of round one; no recovery timeline given pending formal diagnosis,,"Not applicable — injury occurred during a completed, paid bout (referee stoppage), not a withdrawal from a future event, so no prize money was forfeited",Ends McGregor's much-hyped comeback fight against Max Holloway almost immediately and casts doubt on any near-term return to competition,2026-07-11,"NBC News - Conor McGregor suffers early knee injury in return, loses to Max Holloway at UFC 329",https://www.nbcnews.com/sports/ufc/conor-mcgregor-suffers-early-knee-injury-return-loses-max-holloway-ufc-rcna552729
Ezi Magbegor,Seattle Storm (WNBA),Basketball,"Seattle, Washington",WNBA,Facial fracture,Ruled out of the Storm's game vs. the Washington Mystics; to be reevaluated in the next couple of weeks,47945,prorated sunk cost (annual salary ~$1.25M per Spotrac ÷ 365 × 14 days out) [assumption: 'reevaluated in the next couple of weeks' = 2 weeks],Storm without their starting center/forward for at least the near term,2026-07-11,Seattle Times - Ezi Magbegor to miss Seattle Storm's game vs. Washington Mystics with face injury,https://www.seattletimes.com/sports/storm/ezi-magbegor-to-miss-seattle-storms-game-vs-washington-mystics-with-face-injury/
Konnor Griffin,Pittsburgh Pirates (MLB),Baseball,"Pittsburgh, Pennsylvania",MLB,"Torn tendon (sagittal band) in the left ring finger, sustained diving for a ball; initially placed on the 10-day IL and now transferred to the 60-day IL","8-10 week recovery timeline; ineligible to return until at least September 4; team opted for a non-operative approach, splinting the hand for about six weeks before resuming baseball activities",172603,"prorated sunk cost (annual salary ~$1M base salary per Spotrac ÷ 365 × 63 days out) [8-10 week recovery timeline, used midpoint of 9 weeks = 63 days; excludes one-time signing bonus from prorated base]","Pirates lose their rookie starting shortstop (the No. 1 overall pick in the 2024 draft) for an extended stretch, his second significant injury of the season after an earlier forearm strain",2026-07-11,CBS Sports - Pirates' Konnor Griffin: Moved to 60-day IL,https://www.cbssports.com/fantasy/baseball/news/pirates-konnor-griffin-moved-to-60-day-il/
Matt Gage,San Francisco Giants (MLB),Baseball,"San Francisco, California",MLB,Left elbow strain,On the 15-day IL since July 4; received a PRP injection on July 11 with re-evaluation in four weeks,65205,"prorated sunk cost (annual salary ~$850,000 per Spotrac ÷ 365 × 28 days out)",Giants lose a left-handed relief option for at least a month,2026-07-11,MLB.com - Latest Giants injuries & transactions,https://www.mlb.com/news/giants-injuries-and-roster-moves
